,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
88,30,5,54334,5,5,0,0,3,1,0,0,0,40,28, <=50K
89,43,8,410867,7,16,0,14,3,1,1,0,0,50,28, >50K
90,57,5,249977,6,11,1,14,1,1,0,0,0,40,28, <=50K
91,37,5,286730,1,10,5,13,0,1,1,0,0,40,28, <=50K
92,28,5,212563,1,10,5,3,0,4,1,0,0,25,28, <=50K
93,30,5,117747,15,9,1,0,2,3,1,0,1573,35,36, <=50K
94,34,6,226296,4,13,1,1,1,1,0,0,0,40,28, >50K
95,29,6,115585,1,10,0,9,3,1,0,0,0,50,28, <=50K
96,48,1,191277,7,16,1,14,1,1,0,0,1902,60,28, >50K
97,37,5,202683,1,10,1,0,1,1,0,0,0,48,28, >50K
98,48,5,171095,2,12,5,8,0,1,1,0,0,40,22, <=50K
99,32,8,249409,15,9,0,5,5,4,0,0,0,40,28, <=50K
100,76,5,124191,11,14,1,8,1,1,0,0,0,40,28, >50K
101,44,5,198282,4,13,1,8,1,1,0,15024,0,60,28, >50K
102,47,1,149116,11,14,0,14,3,1,1,0,0,50,28, <=50K
103,20,5,188300,1,10,0,7,5,1,1,0,0,40,28, <=50K
104,29,5,103432,15,9,0,13,3,1,0,0,0,40,28, <=50K
105,32,0,317660,15,9,1,13,1,1,0,7688,0,40,28, >50K
106,17,3,304873,13,6,0,10,5,1,1,34095,0,32,28, <=50K
107,30,5,194901,12,7,0,9,5,1,0,0,0,40,28, <=50K
108,31,6,189265,15,9,0,2,3,1,1,0,0,40,28, <=50K
109,42,5,124692,15,9,1,9,1,1,0,0,0,40,28, <=50K
110,24,5,432376,4,13,0,0,4,1,0,0,0,40,28, <=50K
111,38,5,65324,10,15,1,14,1,1,0,0,0,40,28, >50K
112,56,1,335605,15,9,1,5,1,1,0,0,1887,50,31, >50K
113,28,5,377869,1,10,1,0,2,1,1,4064,0,25,28, <=50K
114,36,5,102864,15,9,0,3,5,1,1,0,0,40,28, <=50K
115,53,5,95647,5,5,1,9,1,1,0,0,0,50,28, <=50K
116,56,0,303090,1,10,1,0,1,1,0,0,0,50,28, <=50K
117,49,6,197371,6,11,1,13,1,4,0,0,0,40,28, >50K
118,55,5,247552,1,10,1,0,1,1,0,0,0,56,28, <=50K
119,22,5,102632,15,9,0,13,3,1,0,0,0,41,28, <=50K
120,21,5,199915,1,10,0,5,5,1,1,0,0,40,28, <=50K
121,40,5,118853,4,13,1,8,1,1,0,0,0,60,28, <=50K
122,30,5,77143,4,13,0,8,5,4,0,0,0,40,0, <=50K
123,29,4,267989,4,13,1,14,1,1,0,0,0,50,28, >50K
124,19,5,301606,1,10,0,5,5,4,0,0,0,35,28, <=50K
125,47,5,287828,4,13,1,8,2,1,1,0,0,40,28, >50K
126,20,5,111697,1,10,0,2,5,1,1,0,1719,28,28, <=50K
127,31,5,114937,2,12,1,2,1,1,0,0,0,40,28, >50K
128,35,3,129305,15,9,1,10,1,1,0,0,0,40,28, <=50K
129,39,5,365739,1,10,5,13,3,1,0,0,0,40,28, <=50K
130,28,5,69621,2,12,0,0,3,1,1,0,0,60,28, <=50K
131,24,5,43323,15,9,0,5,3,1,1,0,1762,40,28, <=50K
132,38,1,120985,15,9,1,13,1,1,0,4386,0,35,28, <=50K
133,37,5,254202,4,13,1,0,1,1,0,0,0,50,28, <=50K
134,46,5,146195,2,12,5,7,3,4,1,0,0,36,28, <=50K
135,38,8,125933,11,14,1,14,1,1,0,0,0,40,41, >50K
136,43,1,56920,15,9,1,13,1,1,0,0,0,60,28, <=50K
137,27,5,163127,6,11,1,2,2,1,1,0,0,35,28, <=50K
138,20,5,34310,1,10,0,0,5,1,0,0,0,20,28, <=50K
139,49,5,81973,1,10,1,13,1,3,0,0,0,40,28, >50K
140,61,0,66614,15,9,1,13,1,1,0,0,0,40,28, <=50K
141,27,5,232782,1,10,0,0,5,1,1,0,0,40,28, <=50K
142,19,5,316868,1,10,0,5,5,1,0,0,0,30,27, <=50K
143,45,5,196584,6,11,0,14,3,1,1,0,1564,40,28, >50K
144,70,5,105376,1,10,0,7,4,1,0,0,0,40,28, <=50K
145,31,5,185814,15,9,0,11,0,4,1,0,0,30,28, <=50K
146,22,5,175374,1,10,1,5,1,1,0,0,0,24,28, <=50K
147,36,5,108293,15,9,4,5,0,1,1,0,0,24,28, <=50K
148,64,5,181232,12,7,1,13,1,1,0,0,2179,40,28, <=50K
149,43,3,174662,1,10,5,10,3,1,1,0,0,40,28, <=50K
150,47,6,186009,1,10,5,2,0,1,1,0,0,38,27, <=50K
151,34,5,198183,15,9,0,2,3,1,1,0,0,40,28, <=50K
152,33,5,163003,4,13,0,8,4,3,1,0,0,40,38, <=50K
153,21,5,296158,15,9,0,13,5,1,0,0,0,35,28, <=50K
154,52,3,252903,15,9,5,10,3,1,0,0,0,45,28, >50K
155,48,5,187715,15,9,1,13,1,1,0,0,0,46,28, <=50K
156,23,5,214542,4,13,0,9,3,1,0,0,0,40,28, <=50K
157,71,1,494223,1,10,2,0,0,4,0,0,1816,2,28, <=50K
158,29,5,191535,15,9,5,13,3,1,0,0,0,60,28, <=50K
159,42,5,228456,4,13,2,5,4,4,0,0,0,50,28, <=50K
160,68,3,38317,8,2,5,10,3,1,1,0,0,20,28, <=50K
161,25,5,252752,15,9,0,5,0,1,1,0,0,40,28, <=50K
162,44,0,78374,11,14,5,8,0,3,1,0,0,40,28, <=50K
163,28,5,88419,15,9,0,8,3,3,1,0,0,40,22, <=50K
164,45,1,201080,11,14,1,0,1,1,0,0,0,40,28, >50K
165,36,5,207157,1,10,5,5,0,1,1,0,0,40,27, <=50K
166,39,8,235485,2,12,0,8,3,1,0,0,0,42,28, <=50K
167,46,4,102628,11,14,4,1,0,1,0,0,0,40,28, <=50K
168,18,5,25828,12,7,0,9,5,1,0,0,0,16,28, <=50K
169,66,6,54826,6,11,4,14,3,1,1,0,0,20,28, <=50K
170,27,5,124953,15,9,0,5,3,1,0,0,1980,40,28, <=50K
171,28,4,175325,15,9,1,1,1,1,0,0,0,40,28, <=50K
172,51,5,96062,1,10,1,0,1,1,0,0,1977,40,28, >50K
173,27,5,428030,4,13,0,13,3,1,0,0,0,50,28, <=50K
174,28,4,149624,4,13,1,14,1,1,0,0,0,40,28, >50K
175,27,5,253814,15,9,3,0,0,1,1,0,0,25,28, <=50K
176,21,5,312956,15,9,0,13,5,4,0,0,0,40,28, <=50K
177,34,5,483777,15,9,0,9,3,4,0,0,0,40,28, <=50K
178,18,5,183930,15,9,0,5,5,1,0,0,0,12,28, <=50K
179,33,5,37274,4,13,1,14,1,1,0,0,0,65,28, <=50K
180,44,6,181344,1,10,1,8,1,4,0,0,0,38,28, >50K
181,43,5,114580,1,10,5,2,3,1,1,0,0,40,28, <=50K
182,30,5,633742,1,10,0,13,3,4,0,0,0,45,28, <=50K
183,40,5,286370,0,4,1,3,1,1,0,0,0,40,27, >50K
184,37,8,29054,1,10,1,2,1,1,0,0,0,42,28, >50K
185,34,5,304030,15,9,1,2,1,4,0,0,0,40,28, <=50K
186,41,1,143129,4,13,5,8,3,1,1,0,0,40,28, <=50K
187,53,3,135105,4,13,5,10,3,1,1,0,0,50,28, <=50K
188,31,5,99928,11,14,1,14,2,1,1,0,0,50,28, <=50K
189,58,4,109567,7,16,1,14,1,1,0,0,0,1,28, >50K
190,38,5,155222,1,10,5,3,3,4,1,0,0,28,28, <=50K
191,24,5,159567,1,10,1,3,1,1,0,0,0,40,28, <=50K
192,41,6,523910,4,13,1,13,1,4,0,0,0,40,28, <=50K
193,47,5,120939,1,10,1,7,1,1,0,0,0,45,28, <=50K
194,41,8,130760,4,13,1,7,1,1,0,0,0,24,28, <=50K
195,23,5,197387,3,3,1,11,4,1,0,0,0,40,27, <=50K
196,36,5,99374,1,10,5,13,3,1,0,0,0,40,28, <=50K
197,40,8,56795,11,14,0,8,3,1,1,14084,0,55,28, >50K
198,35,5,138992,11,14,1,14,4,1,0,7298,0,40,28, >50K
199,24,1,32921,15,9,0,0,3,1,0,0,0,40,28, <=50K
200,26,5,397317,11,14,0,14,3,1,1,0,1876,40,28, <=50K
201,19,3,170653,15,9,0,10,5,1,0,0,0,40,35, <=50K
202,51,5,259323,4,13,1,8,1,1,0,0,0,50,28, >50K
203,42,6,254817,1,10,0,14,3,1,1,0,1340,40,28, <=50K
204,37,4,48211,15,9,5,2,0,1,1,0,0,35,28, <=50K
205,18,5,140164,12,7,0,0,5,1,1,0,0,40,28, <=50K
206,36,5,128757,4,13,1,5,1,4,0,7298,0,36,28, >50K
207,35,5,36270,15,9,5,13,3,1,0,0,0,60,28, <=50K
208,58,0,210563,15,9,1,0,2,1,1,15024,0,35,28, >50K
209,17,5,65368,12,7,0,0,5,1,1,0,0,12,28, <=50K
210,44,6,160943,15,9,1,11,1,4,0,0,0,40,28, <=50K
211,37,5,208358,15,9,1,13,1,1,0,0,0,40,28, >50K
212,35,5,153790,1,10,0,0,3,0,1,0,0,40,28, <=50K
213,60,5,85815,15,9,1,13,1,3,0,0,0,40,28, <=50K
214,54,0,125417,0,4,1,3,1,1,0,0,0,40,28, >50K
215,37,5,635913,4,13,0,8,3,4,0,0,0,60,28, >50K
216,50,5,313321,2,12,5,0,3,1,1,0,0,40,28, <=50K
217,38,5,182609,4,13,1,0,1,1,0,0,0,50,40, <=50K
218,45,5,109434,4,13,1,14,1,1,0,0,0,55,28, <=50K
219,25,5,255004,13,6,0,13,3,1,0,0,0,40,28, <=50K
220,31,5,197860,1,10,1,9,1,1,0,0,0,40,28, <=50K
221,64,3,187656,8,2,5,10,3,1,0,0,0,40,28, <=50K
222,90,5,51744,15,9,0,5,3,4,0,0,2206,40,28, <=50K
223,54,5,176681,15,9,1,2,1,4,0,0,0,20,28, <=50K
224,53,6,140359,14,1,0,3,3,1,1,0,0,35,28, <=50K
225,18,5,243313,15,9,0,0,5,1,1,0,0,40,28, <=50K
226,60,3,24215,13,6,5,10,3,0,1,0,0,10,28, <=50K
227,66,1,167687,15,9,1,12,1,1,0,1409,0,50,28, <=50K
228,75,5,314209,6,11,4,2,3,1,1,0,0,20,6, <=50K
229,65,5,176796,15,9,5,2,3,1,1,0,0,40,28, <=50K
230,35,5,538583,12,7,2,11,3,4,0,3674,0,40,28, <=50K
231,41,5,130408,15,9,5,0,0,4,1,0,0,38,28, <=50K
232,25,5,159732,1,10,0,2,3,1,0,0,0,42,28, <=50K
233,33,5,110978,1,10,5,13,4,2,1,0,0,40,28, <=50K
234,28,5,76714,10,15,0,14,3,1,0,0,0,55,28, >50K
235,59,4,268700,15,9,1,5,1,1,0,0,0,40,28, <=50K
236,40,4,170525,1,10,0,2,3,1,1,0,0,38,28, <=50K
237,41,5,180138,4,13,1,8,1,1,0,0,0,50,41, >50K
238,38,6,115076,11,14,1,8,1,1,0,0,0,70,28, >50K
239,23,5,115458,15,9,0,11,5,1,0,0,0,40,28, <=50K
240,40,5,347890,4,13,1,14,1,1,0,0,0,40,28, >50K
241,41,1,196001,15,9,1,5,2,1,1,0,0,20,28, <=50K
242,24,4,273905,2,12,1,1,1,1,0,0,0,50,28, <=50K
243,20,3,119156,1,10,0,10,5,1,0,0,0,20,28, <=50K
244,38,5,179488,1,10,5,13,3,1,0,0,1741,40,28, <=50K
245,56,5,203580,15,9,1,2,1,1,0,0,0,35,36, <=50K
246,58,5,236596,15,9,1,2,1,1,0,0,0,45,28, >50K
247,32,5,183916,15,9,0,5,3,1,1,0,0,34,28, <=50K
248,40,5,207578,2,12,1,7,1,1,0,0,1977,60,28, >50K
249,45,5,153141,15,9,1,2,1,1,0,0,0,40,36, <=50K
250,41,5,112763,10,15,1,14,2,1,1,0,0,40,28, >50K
251,42,5,390781,4,13,1,2,2,4,1,0,0,40,28, <=50K
252,59,6,171328,13,6,4,5,0,4,1,0,0,30,28, <=50K
253,19,6,27382,1,10,0,2,5,1,0,0,0,40,28, <=50K
254,58,5,259014,1,10,0,11,3,1,0,0,0,20,28, <=50K
255,42,1,303044,15,9,1,12,1,3,0,0,0,40,8, >50K
256,20,5,117789,15,9,0,5,5,1,1,0,0,40,28, <=50K
257,32,5,172579,15,9,2,5,3,1,1,0,0,30,28, <=50K
258,45,5,187666,6,11,4,8,3,1,1,0,0,45,28, <=50K
259,50,5,204518,0,4,5,13,3,1,0,0,0,40,28, <=50K
260,36,5,150042,4,13,5,14,5,1,1,0,0,40,28, <=50K
261,45,5,98092,15,9,1,0,1,1,0,0,0,60,28, <=50K
262,17,5,245918,12,7,0,5,5,1,0,0,0,12,28, <=50K
263,59,5,146013,1,10,1,0,1,1,0,4064,0,40,28, <=50K
264,26,5,378322,12,7,1,13,1,1,0,0,0,40,28, <=50K
265,37,0,257295,1,10,1,8,1,3,0,0,0,75,13, >50K
266,19,3,218956,1,10,0,10,5,1,0,0,0,24,31, <=50K
267,64,5,21174,15,9,1,8,1,1,0,0,0,40,28, >50K
268,33,5,185480,4,13,0,14,3,1,1,0,0,45,28, <=50K
269,33,5,222205,15,9,1,13,2,1,1,0,0,40,28, >50K
270,61,5,69867,15,9,1,8,1,1,0,0,0,40,28, >50K
271,17,5,191260,5,5,0,5,5,1,0,1055,0,24,28, <=50K
272,50,1,30653,11,14,1,12,1,1,0,2407,0,98,28, <=50K
273,27,6,209109,11,14,0,14,5,1,0,0,0,35,28, <=50K
274,30,5,70377,15,9,5,14,5,1,1,0,0,40,28, <=50K
275,43,5,477983,15,9,1,9,1,4,0,0,0,40,28, <=50K
276,44,5,170924,1,10,1,13,1,1,0,7298,0,40,28, >50K
277,35,5,190174,1,10,0,8,3,1,1,0,0,40,28, <=50K
278,25,5,193787,1,10,0,7,5,1,1,0,0,40,28, <=50K
279,24,5,279472,1,10,1,3,2,1,1,7298,0,48,28, >50K
280,22,5,34918,4,13,0,14,3,1,1,0,0,15,0, <=50K
281,42,6,97688,1,10,1,13,1,1,0,5178,0,40,28, >50K
282,34,5,175413,2,12,5,0,0,4,1,0,0,45,28, <=50K
283,60,5,173960,4,13,5,14,3,1,1,0,0,42,28, <=50K
284,21,5,205759,15,9,0,9,5,1,0,0,0,40,28, <=50K
285,57,8,425161,11,14,1,0,1,1,0,15024,0,40,28, >50K
286,41,5,220531,10,15,1,14,1,1,0,0,0,60,28, >50K
287,50,5,176609,1,10,5,5,3,1,0,0,0,45,28, <=50K
288,25,5,371987,4,13,0,8,3,1,1,0,0,40,28, <=50K
289,50,5,193884,0,4,1,13,1,1,0,0,0,40,37, <=50K
290,36,5,200352,4,13,1,14,1,1,0,0,0,45,28, <=50K
291,31,5,127595,15,9,5,14,3,1,1,0,0,40,28, <=50K
292,29,6,220419,4,13,0,1,3,1,0,0,0,56,28, <=50K
293,21,5,231931,1,10,0,0,5,1,0,0,0,45,28, <=50K
294,27,5,248402,4,13,0,7,0,4,1,0,0,40,28, <=50K
295,65,5,111095,15,9,1,11,1,1,0,0,0,16,28, <=50K
296,37,0,57424,4,13,5,0,3,1,1,0,0,60,28, <=50K
297,39,3,157443,11,14,1,10,2,3,1,3464,0,40,36, <=50K
298,24,5,278130,15,9,0,13,5,1,0,0,0,40,28, <=50K
299,38,5,169469,15,9,5,0,3,1,0,0,0,80,28, <=50K
300,48,5,146268,4,13,1,2,1,1,0,7688,0,40,28, >50K
301,21,5,153718,1,10,0,5,3,3,1,0,0,25,28, <=50K
302,31,5,217460,15,9,1,11,1,1,0,0,0,45,28, >50K
303,55,5,238638,15,9,1,0,1,1,0,4386,0,40,28, >50K
304,24,5,303296,1,10,1,2,2,3,1,0,0,40,2, <=50K
305,43,5,173321,15,9,5,2,3,1,1,0,0,40,28, <=50K
306,26,5,193945,2,12,0,7,3,1,0,0,0,45,28, <=50K
307,46,5,83082,2,12,0,14,3,1,1,0,0,33,28, <=50K
308,35,5,193815,2,12,1,2,1,1,0,0,0,40,28, >50K
309,41,0,34987,1,10,1,12,1,1,0,0,0,54,28, >50K
310,26,5,59306,4,13,0,0,3,1,0,0,0,40,28, <=50K
311,34,5,142897,11,14,1,8,1,3,0,7298,0,35,5, >50K
312,19,3,860348,1,10,0,10,5,4,1,0,0,25,28, <=50K
313,36,1,205607,4,13,5,14,3,4,1,0,0,40,28, >50K
314,22,5,199698,1,10,0,0,5,1,0,0,0,15,28, <=50K
315,24,5,191954,1,10,0,3,3,1,0,0,0,40,28, <=50K
316,77,1,138714,1,10,1,0,1,1,0,0,0,40,28, <=50K
317,22,5,399087,3,3,1,3,4,1,1,0,0,40,27, <=50K
318,29,5,423158,1,10,0,7,3,1,1,0,0,40,28, <=50K
319,62,5,159841,15,9,4,5,3,1,1,0,0,24,28, <=50K
320,39,1,174308,15,9,1,8,1,1,0,0,0,40,28, <=50K
321,43,5,50356,1,10,1,13,1,1,0,0,1485,50,28, <=50K
322,35,5,186110,15,9,5,11,3,1,0,0,0,45,28, <=50K
323,29,5,200381,12,7,0,8,3,1,1,0,0,40,28, <=50K
324,76,1,174309,11,14,1,13,1,1,0,0,0,10,28, <=50K
325,63,1,78383,15,9,1,12,1,1,0,0,0,45,28, <=50K
326,23,3,211601,6,11,0,10,5,4,1,0,0,15,28, <=50K
327,43,5,187728,1,10,1,14,2,1,1,0,1887,50,28, >50K
328,58,1,321171,15,9,1,9,1,1,0,0,0,40,28, <=50K
329,66,5,127921,15,9,0,11,3,1,0,2050,0,55,28, <=50K
330,41,5,206565,1,10,0,13,3,4,0,0,0,45,28, <=50K
331,26,5,224563,4,13,0,2,3,1,0,0,0,40,28, <=50K
332,47,5,178686,6,11,0,5,3,1,0,0,0,40,28, <=50K
333,55,6,98545,13,6,1,2,1,1,0,0,0,40,28, <=50K
334,53,5,242606,15,9,1,11,1,1,0,0,0,40,28, <=50K
335,17,5,270942,3,3,0,5,4,1,0,0,0,48,27, <=50K
336,30,5,94235,15,9,0,13,4,1,0,0,0,40,28, <=50K
337,49,5,71195,11,14,0,14,3,1,0,0,0,60,28, <=50K
338,19,5,104112,15,9,0,0,0,4,0,0,0,30,15, <=50K
339,45,5,261192,15,9,1,5,1,4,0,0,0,40,28, <=50K
340,26,5,94936,2,12,0,0,3,1,0,0,0,40,28, <=50K
341,38,5,296478,6,11,1,13,1,1,0,7298,0,40,28, >50K
342,36,4,119272,15,9,1,1,1,1,0,7298,0,40,28, >50K
343,33,5,85043,15,9,0,12,3,1,0,0,0,20,28, <=50K
344,22,4,293364,1,10,0,1,5,4,1,0,0,40,28, <=50K
345,43,1,241895,4,13,0,0,3,1,0,0,0,42,28, <=50K
346,67,3,36135,12,7,1,10,1,1,0,0,0,8,28, <=50K
347,30,3,151989,6,11,5,10,0,1,1,0,0,40,28, <=50K
348,56,5,101128,2,12,3,5,3,1,0,0,0,25,41, <=50K
349,31,5,156464,4,13,0,14,5,1,0,0,0,25,28, <=50K
350,33,5,117963,4,13,1,8,1,1,0,0,0,40,28, >50K
351,26,5,192262,15,9,1,5,1,1,0,0,0,40,28, <=50K
352,33,5,111363,4,13,1,8,1,1,0,0,0,40,28, >50K
353,46,6,329752,12,7,1,11,1,1,0,0,0,30,28, <=50K
354,59,3,372020,4,13,1,10,1,1,0,0,0,40,28, >50K
355,38,8,95432,15,9,1,2,1,1,0,0,0,40,28, >50K
356,65,5,161400,12,7,4,5,0,2,0,0,0,40,28, <=50K
357,40,5,96129,6,11,1,7,1,1,0,0,0,40,28, >50K
358,42,5,111949,15,9,1,2,2,1,1,0,0,35,28, <=50K
359,26,1,117125,5,5,1,13,1,1,0,0,0,40,23, <=50K
360,36,5,348022,13,6,1,5,2,1,1,0,0,24,28, <=50K
361,62,5,270092,11,14,1,14,1,1,0,0,0,40,28, >50K
362,43,5,180609,4,13,1,11,1,1,0,0,0,45,28, <=50K
363,43,5,174575,4,13,5,8,3,1,0,0,1564,45,28, >50K
364,22,5,410439,15,9,3,0,3,1,0,0,0,55,28, <=50K
365,28,5,92262,15,9,1,13,1,1,0,0,0,40,28, <=50K
366,56,1,183081,1,10,1,0,1,1,0,0,0,45,28, <=50K
367,22,5,362589,2,12,0,0,3,1,1,0,0,15,28, <=50K
368,57,5,212448,4,13,5,8,3,1,1,0,0,45,28, >50K
369,39,5,481060,15,9,5,0,0,1,1,0,0,40,28, <=50K
370,26,8,185885,1,10,0,2,0,1,1,0,0,15,28, <=50K
371,17,5,89821,12,7,0,5,5,1,0,0,0,10,28, <=50K
372,40,4,184018,6,11,1,3,1,1,0,0,0,38,28, >50K
373,45,5,256649,15,9,1,3,1,4,0,0,0,40,28, <=50K
374,44,5,160323,15,9,0,13,3,4,0,0,0,40,28, <=50K
375,20,6,350845,1,10,0,2,5,1,1,0,0,10,28, <=50K
376,33,5,267404,15,9,1,13,2,1,1,0,0,40,28, <=50K
377,23,5,35633,1,10,0,0,3,1,0,0,0,40,28, <=50K
378,46,1,80914,11,14,5,8,3,1,0,0,0,30,28, <=50K
379,38,5,172927,15,9,1,0,1,1,0,0,0,50,28, <=50K
380,54,5,174319,15,9,5,11,3,1,0,0,0,40,28, <=50K
381,46,5,214955,3,3,5,13,3,1,1,0,2339,45,28, <=50K
382,25,5,344991,1,10,1,13,1,1,0,0,0,40,28, <=50K
383,46,5,108699,1,10,5,0,3,1,1,0,0,40,28, <=50K
384,36,6,117312,1,10,1,11,2,1,1,0,0,40,28, <=50K
385,23,5,396099,15,9,0,5,3,1,1,0,0,25,28, <=50K
